1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.899999999999999911e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.949999999999999956e-01,1.000000000000000000e+00
9.250000000000000444e-01,9.000000000000000222e-01,9.250000000000000444e-01,9.399999999999999467e-01,9.250000000000000444e-01
7.500000000000000000e-01,7.850000000000000311e-01,7.299999999999999822e-01,7.299999999999999822e-01,7.500000000000000000e-01
5.949999999999999734e-01,5.150000000000000133e-01,4.899999999999999911e-01,5.400000000000000355e-01,5.699999999999999512e-01
4.849999999999999867e-01,4.050000000000000266e-01,4.400000000000000022e-01,4.199999999999999845e-01,3.950000000000000178e-01
3.549999999999999822e-01,3.850000000000000089e-01,2.800000000000000266e-01,2.999999999999999889e-01,2.849999999999999756e-01
2.300000000000000100e-01,2.000000000000000111e-01,2.099999999999999922e-01,2.049999999999999878e-01,2.650000000000000133e-01
2.049999999999999878e-01,2.449999999999999956e-01,2.049999999999999878e-01,2.200000000000000011e-01,2.149999999999999967e-01
1.600000000000000033e-01,1.650000000000000078e-01,1.849999999999999978e-01,1.350000000000000089e-01,1.749999999999999889e-01
