7.550000000000000044e-01,7.550000000000000044e-01,7.550000000000000044e-01,7.550000000000000044e-01,7.550000000000000044e-01
5.550000000000000488e-01,5.550000000000000488e-01,5.550000000000000488e-01,5.550000000000000488e-01,5.550000000000000488e-01
3.250000000000000111e-01,3.250000000000000111e-01,3.250000000000000111e-01,3.250000000000000111e-01,3.250000000000000111e-01
2.800000000000000266e-01,2.800000000000000266e-01,2.800000000000000266e-01,2.800000000000000266e-01,2.800000000000000266e-01
2.800000000000000266e-01,2.800000000000000266e-01,2.800000000000000266e-01,2.800000000000000266e-01,2.800000000000000266e-01
2.750000000000000222e-01,2.750000000000000222e-01,2.750000000000000222e-01,2.750000000000000222e-01,2.750000000000000222e-01
2.349999999999999867e-01,2.349999999999999867e-01,2.349999999999999867e-01,2.349999999999999867e-01,2.349999999999999867e-01
2.099999999999999922e-01,2.099999999999999922e-01,2.099999999999999922e-01,2.099999999999999922e-01,2.099999999999999922e-01
1.749999999999999889e-01,1.749999999999999889e-01,1.749999999999999889e-01,1.749999999999999889e-01,1.749999999999999889e-01
1.950000000000000067e-01,1.950000000000000067e-01,1.950000000000000067e-01,1.950000000000000067e-01,1.950000000000000067e-01
1.950000000000000067e-01,1.950000000000000067e-01,1.950000000000000067e-01,1.950000000000000067e-01,1.950000000000000067e-01
